feature,avg_rank,count,h_rank,l_rank
X817 - X1297617,1.368421052631579,57,1,21
X39950 - X1297617,1.1320754716981132,53,1,7
X817 - X39950,1.05,40,1,2
X1601 - X1297617,1.0,32,1,1
X1601 - X39950,1.0357142857142858,28,1,2
X216816 - X1297617,1.037037037037037,27,1,2
X649756 - X1297617,2.0,20,1,21
X817 - X1601,1.0588235294117647,17,1,2
X817 - X649756,2.4285714285714284,14,1,21
X52773 - X1297617,1.0,13,1,1
X28118 - X1297617,1.0,11,1,1
X39950 - X649756,1.0,11,1,1
X239935 - X1297617,1.6,10,1,7
X817 - X216816,1.9,10,1,10
X52773 - X216816,2.6,10,1,16
X84112 - X1297617,4.1,10,1,32
X39950 - X216816,1.0,9,1,1
X702967 - X1297617,1.3333333333333333,9,1,4
X1601 - X216816,1.0,8,1,1
X28037 - X1297617,1.125,8,1,2
X28037 - X39950,4.5,8,1,29
X39950 - X702967,1.0,7,1,1
X39950 - X84112,1.0,7,1,1
X817 - X84112,1.0,7,1,1
X1601 - X1871021,1.2857142857142858,7,1,2
X1245 - X1297617,6.0,7,1,36
X28118 - X39950,1.0,6,1,1
X1308 - X1297617,1.0,6,1,1
X817 - X28037,1.0,6,1,1
X817 - X52773,1.0,6,1,1
X817 - X28118,1.0,6,1,1
X34085 - X1297617,1.1666666666666667,6,1,2
X1297617 - X1871021,2.1666666666666665,6,1,7
X28132 - X1297617,6.833333333333333,6,1,36
X1246 - X1297617,1.0,5,1,1
X817 - X1245,1.0,5,1,1
X216816 - X1871021,1.2,5,1,2
X817 - X34085,1.2,5,1,2
X817 - X239935,2.8,5,1,10
X216816 - X239935,5.8,5,1,16
X1328 - X1297617,7.8,5,1,32
X817 - X28132,1.0,4,1,1
X817 - X702967,1.0,4,1,1
X39950 - X52773,1.0,4,1,1
X818 - X1297617,1.0,4,1,1
X1601 - X84112,1.0,4,1,1
X1601 - X52773,1.0,4,1,1
X817 - X1308,1.0,4,1,1
X539 - X1297617,1.0,4,1,1
X84112 - X216816,1.0,4,1,1
X1683 - X1297617,1.25,4,1,2
X1736 - X1871021,1.25,4,1,2
X818 - X216816,1.5,4,1,2
X1297617 - X1528099,8.75,4,1,32
X1309 - X1297617,1.0,3,1,1
X1245 - X1599,1.0,3,1,1
X817 - X1309,1.0,3,1,1
X1225789 - X1297617,1.0,3,1,1
X1747 - X1297617,1.0,3,1,1
X1494 - X39950,1.0,3,1,1
X29466 - X1297617,1.0,3,1,1
X28118 - X649756,1.0,3,1,1
X1246 - X39950,1.0,3,1,1
X539 - X818,1.0,3,1,1
X817 - X1328,1.0,3,1,1
X1328 - X28118,1.0,3,1,1
X817 - X818,1.0,3,1,1
X1307 - X1297617,1.0,3,1,1
X39950 - X1871021,3.0,3,1,7
X84112 - X649756,3.3333333333333335,3,1,8
X1147150 - X1297617,9.0,3,1,25
X817 - X1246,1.0,2,1,1
X1246 - X1601,1.0,2,1,1
X817 - X1683,1.0,2,1,1
X1309 - X39950,1.0,2,1,1
X817 - X102684,1.0,2,1,1
X817 - X1871021,1.0,2,1,1
X39950 - X102684,1.0,2,1,1
X630 - X817,1.0,2,1,1
X630 - X39950,1.0,2,1,1
X1601 - X1147150,1.0,2,1,1
X1246 - X1747,1.0,2,1,1
X34085 - X702967,1.0,2,1,1
X1601 - X649756,1.0,2,1,1
X817 - X1494,1.0,2,1,1
X1601 - X1225789,1.0,2,1,1
X1494 - X1297617,1.0,2,1,1
X818 - X1601,1.0,2,1,1
X818 - X29466,1.0,2,1,1
X1601 - X29466,1.0,2,1,1
X1308 - X84112,1.0,2,1,1
X39950 - X1528099,1.0,2,1,1
X28118 - X216816,1.0,2,1,1
X1308 - X28037,1.0,2,1,1
X817 - X860,1.0,2,1,1
X1245 - X649756,1.0,2,1,1
X1736 - X216816,1.0,2,1,1
X1736 - X1297617,1.0,2,1,1
X1601 - X28037,1.0,2,1,1
X817 - X29466,1.0,2,1,1
X539 - X28118,1.0,2,1,1
X539 - X39950,1.0,2,1,1
X818 - X28118,1.0,2,1,1
X818 - X39950,1.0,2,1,1
X1147143 - X1297617,1.0,2,1,1
X1147150 - X1225789,1.0,2,1,1
X1601 - X239935,1.0,2,1,1
X39950 - X1160721,1.0,2,1,1
X1160721 - X1297617,1.0,2,1,1
X1308 - X39950,1.0,2,1,1
X39950 - X1912856,1.0,2,1,1
X1307 - X1601,1.0,2,1,1
X1307 - X34085,1.0,2,1,1
X1328 - X1601,1.0,2,1,1
X1328 - X1871021,1.0,2,1,1
X1601 - X28118,1.0,2,1,1
X239935 - X702967,1.0,2,1,1
X34085 - X1160721,1.0,2,1,1
X52773 - X1160721,1.0,2,1,1
X28118 - X84112,1.0,2,1,1
X1601 - X1736,1.5,2,1,2
X817 - X53345,1.5,2,1,2
X216816 - X1528099,1.5,2,1,2
X1604 - X216816,1.5,2,1,2
X818 - X52773,1.5,2,1,2
X287 - X1297617,2.5,2,1,4
X39950 - X239935,4.0,2,1,7
X818 - X84112,4.5,2,1,8
X818 - X34085,4.5,2,1,8
X287 - X817,5.5,2,1,10
X287 - X239935,5.5,2,1,10
X52773 - X239935,8.5,2,1,16
X46867 - X1297617,13.0,2,1,25
X39950 - X1134687,15.0,2,1,29
X1328 - X84112,16.5,2,1,32
X1245 - X28132,18.5,2,1,36
X1601 - X1683,1.0,1,1,1
X1309 - X1601,1.0,1,1,1
X102684 - X1871021,1.0,1,1,1
X28037 - X28118,1.0,1,1,1
X1308 - X649756,1.0,1,1,1
X817 - X1346,1.0,1,1,1
X1346 - X28132,1.0,1,1,1
X1346 - X1297617,1.0,1,1,1
X630 - X860,1.0,1,1,1
X630 - X84112,1.0,1,1,1
X860 - X84112,1.0,1,1,1
X630 - X702967,1.0,1,1,1
X28037 - X649756,1.0,1,1,1
X817 - X1813821,1.0,1,1,1
X28037 - X1813821,1.0,1,1,1
X1245 - X1346,1.0,1,1,1
X1346 - X1599,1.0,1,1,1
X1601 - X1685,1.0,1,1,1
X1601 - X69966,1.0,1,1,1
X1685 - X69966,1.0,1,1,1
X1685 - X1147150,1.0,1,1,1
X69966 - X1147150,1.0,1,1,1
X817 - X1225789,1.0,1,1,1
X1309 - X1225789,1.0,1,1,1
X52773 - X702967,1.0,1,1,1
X1246 - X702967,1.0,1,1,1
X1747 - X702967,1.0,1,1,1
X649756 - X702967,1.0,1,1,1
X1245 - X216816,1.0,1,1,1
X1494 - X702967,1.0,1,1,1
X817 - X1156433,1.0,1,1,1
X53345 - X216816,1.0,1,1,1
X53345 - X1156433,1.0,1,1,1
X216816 - X1156433,1.0,1,1,1
X817 - X1423,1.0,1,1,1
X1423 - X239935,1.0,1,1,1
X1423 - X1297617,1.0,1,1,1
X1225789 - X1871021,1.0,1,1,1
X1282 - X1747,1.0,1,1,1
X1282 - X34085,1.0,1,1,1
X1747 - X34085,1.0,1,1,1
X1601 - X1539298,1.0,1,1,1
X1601 - X1572656,1.0,1,1,1
X84112 - X1539298,1.0,1,1,1
X84112 - X1572656,1.0,1,1,1
X1539298 - X1572656,1.0,1,1,1
X1683 - X216816,1.0,1,1,1
X1683 - X1871021,1.0,1,1,1
X1601 - X702967,1.0,1,1,1
X817 - X1528099,1.0,1,1,1
X28118 - X52773,1.0,1,1,1
X630 - X1297617,1.0,1,1,1
X1747 - X84112,1.0,1,1,1
X1747 - X292800,1.0,1,1,1
X84112 - X292800,1.0,1,1,1
X292800 - X1297617,1.0,1,1,1
X860 - X1245,1.0,1,1,1
X860 - X1309,1.0,1,1,1
X1245 - X1309,1.0,1,1,1
X1736 - X52773,1.0,1,1,1
X1494 - X216816,1.0,1,1,1
X1494 - X1572656,1.0,1,1,1
X39950 - X1572656,1.0,1,1,1
X216816 - X1572656,1.0,1,1,1
X1683 - X28132,1.0,1,1,1
X539 - X1601,1.0,1,1,1
X539 - X216816,1.0,1,1,1
X1308 - X1601,1.0,1,1,1
X1246 - X84112,1.0,1,1,1
X287 - X1601,1.0,1,1,1
X28037 - X29466,1.0,1,1,1
X29466 - X39950,1.0,1,1,1
X1346 - X52773,1.0,1,1,1
X1346 - X53345,1.0,1,1,1
X1346 - X1147150,1.0,1,1,1
X52773 - X53345,1.0,1,1,1
X52773 - X1147150,1.0,1,1,1
X53345 - X1147150,1.0,1,1,1
X287 - X294,1.0,1,1,1
X294 - X239935,1.0,1,1,1
X1601 - X61645,1.0,1,1,1
X52773 - X84112,1.0,1,1,1
X539 - X582,1.0,1,1,1
X539 - X1307,1.0,1,1,1
X582 - X818,1.0,1,1,1
X582 - X1307,1.0,1,1,1
X818 - X1307,1.0,1,1,1
X817 - X1624,1.0,1,1,1
X1328 - X1624,1.0,1,1,1
X1624 - X28118,1.0,1,1,1
X52773 - X1147143,1.0,1,1,1
X216816 - X1147143,1.0,1,1,1
X818 - X1528099,1.0,1,1,1
X28118 - X1528099,1.0,1,1,1
X39950 - X1147150,1.0,1,1,1
X39950 - X1225789,1.0,1,1,1
X1601 - X1134687,1.0,1,1,1
X649756 - X1134687,1.0,1,1,1
