feature,avg_rank,h_rank,l_rank
X39950,5.927272727272728,1,64
X817,6.368932038834951,1,55
X1297617,9.56140350877193,1,56
X539,10.664772727272727,2,87
X1601,11.340909090909092,2,72
X84112,12.374233128834355,2,66
X649756,12.962732919254659,2,94
X34085,13.401162790697674,2,80
X1528099,14.191011235955056,3,57
X216816,14.684931506849315,2,85
X1246,16.0225988700565,2,61
X28118,16.427710843373493,2,115
X1871021,16.886904761904763,2,128
X1245,17.03448275862069,4,90
X239935,17.130177514792898,1,95
X28037,17.13450292397661,1,92
X702967,17.627906976744185,3,26
X28132,18.548022598870055,1,133
X818,19.370588235294118,2,87
X29466,19.52247191011236,5,58
X1683,21.435754189944134,2,57
X1328,21.794285714285714,2,98
X52773,22.593939393939394,2,86
X1308,24.198863636363637,3,79
X1912856,24.944751381215468,2,93
X1494,25.921787709497206,2,85
X1736,27.97752808988764,3,89
X1747,28.089385474860336,7,112
X1309,29.038888888888888,2,88
X1225789,29.35195530726257,1,101
X1282,29.87292817679558,2,96
X69966,30.296703296703296,2,42
X860,30.555555555555557,2,82
X1160721,31.106145251396647,3,89
X1572656,32.03888888888889,2,123
X1307,33.58100558659218,2,104
X1346,34.20441988950276,3,100
X53345,34.88333333333333,4,65
X1599,35.02209944751381,3,82
X1147150,35.52247191011236,2,43
X544580,35.71978021978022,2,165
X46867,38.26373626373626,2,83
X1156433,39.25824175824176,2,161
X287,40.06111111111111,10,83
X51663,41.56043956043956,4,92
X1712675,41.79234972677595,2,102
X1147143,42.92817679558011,2,66
X102684,43.30769230769231,3,94
X1539298,43.42857142857143,3,108
X294,45.6448087431694,10,93
X61645,46.86338797814208,2,97
X2756,50.19672131147541,2,220
X76832,50.625,2,156
X1685,50.91803278688525,2,93
X1463165,51.05464480874317,44,60
X630,51.13259668508287,2,98
X1604,51.7967032967033,3,212
X1871025,54.71978021978022,8,98
X1813821,55.224043715846996,4,63
X1304,56.22282608695652,3,120
X292800,57.704918032786885,3,131
X2025876,57.77173913043478,4,151
X244366,58.49180327868852,2,92
X1889813,58.9344262295082,7,206
X1216932,61.42622950819672,3,139
X10761,61.84782608695652,5,72
X44742,62.30601092896175,17,88
X1702221,62.34239130434783,15,115
X732,63.721311475409834,26,97
X67827,67.6413043478261,2,139
X1254,69.41847826086956,1,106
X190721,69.92934782608695,8,97
X1134687,70.11538461538461,35,132
X631220,71.22950819672131,62,86
X1476577,72.55978260869566,4,209
X249188,72.65027322404372,7,109
X502558,73.56521739130434,27,230
X1834196,74.38586956521739,5,264
X582,74.53846153846153,24,93
X730,77.85792349726776,25,188
X1423,78.05464480874316,41,106
X1624,79.78571428571429,50,119
X1579,79.85245901639344,38,110
X1834205,81.22826086956522,7,108
X43675,81.45108695652173,14,153
X1871034,81.47826086956522,41,158
X208479,82.0163043478261,22,226
X2026240,85.57065217391305,5,212
X1283,85.7336956521739,10,138
X1313,87.31521739130434,5,269
X1805478,88.05434782608695,6,137
X246787,91.0163043478261,41,185
X1407493,91.82608695652173,34,140
X28141,94.19565217391305,41,150
X1326,95.82608695652173,39,269
X712411,97.05434782608695,57,248
X399726,99.53804347826087,19,173
X35760,100.46195652173913,43,154
X1812934,101.3586956521739,55,266
X185008,102.90760869565217,63,133
