feature,avg_rank,h_rank,l_rank
X1681,104.44565217391305,63,258
X39488,104.5,67,268
X208224,105.83695652173913,42,227
X197,108.28260869565217,60,267
X38289,108.40760869565217,65,225
X67824,108.5,57,166
X47678,109.88586956521739,79,271
X54291,110.8695652173913,44,199
X548,111.64673913043478,47,168
X712357,112.91304347826087,56,246
X546,115.45108695652173,55,226
X1295,115.71739130434783,59,154
X74426,116.28260869565217,53,255
X562,117.30978260869566,75,269
X29385,118.8695652173913,63,262
X1692238,118.90760869565217,58,202
X713030,120.72826086956522,67,266
X1147149,120.8586956521739,54,239
X569,121.54347826086956,60,268
X1805714,121.625,85,271
X1680,122.92391304347827,86,263
X1147148,124.72826086956522,59,144
X1827481,125.41304347826087,66,226
X1349,126.22826086956522,74,225
X55884,126.52173913043478,64,197
X1655645,129.60326086956522,75,211
X1358,129.9076086956522,77,270
X1281,130.1086956521739,81,186
X28131,130.2173913043478,74,254
X1471761,135.10326086956522,87,265
X1649239,135.2554347826087,64,155
X1042156,135.65217391304347,86,267
X1019,137.82065217391303,84,232
X1852373,138.34782608695653,81,265
X1613,138.66304347826087,69,224
X1812935,139.20108695652175,66,271
X1841863,140.0,84,270
X79604,140.60326086956522,70,255
X1366,141.08695652173913,81,257
X2051905,141.5054347826087,64,235
X1839799,142.7608695652174,80,258
X615,143.8913043478261,74,242
X28116,144.2173913043478,87,271
X1156431,144.22282608695653,87,266
X1147145,144.5923913043478,69,192
X10678,144.66847826086956,61,249
X837,145.2826086956522,89,268
X1335613,145.70108695652175,85,266
X208962,147.1576086956522,90,261
X1852377,147.94565217391303,87,271
X1725232,149.83695652173913,89,269
X1834198,149.8858695652174,71,270
X199,150.9076086956522,66,240
X82983,151.70108695652175,79,262
X847,152.15217391304347,58,209
X414970,152.16847826086956,68,173
X536441,152.41847826086956,92,226
X1907578,156.89673913043478,88,173
X1915310,160.08152173913044,73,243
X51669,160.2608695652174,80,266
X432198,160.94021739130434,85,177
X1785995,162.34782608695653,84,261
X1531429,162.97826086956522,74,270
X1303,162.9945652173913,84,272
X1352,163.1141304347826,73,272
X158847,163.6086956521739,74,265
X28901,163.7608695652174,86,245
X1597,168.3913043478261,87,267
X573062,168.70108695652175,86,259
X1796613,169.30434782608697,93,271
X671223,169.8913043478261,82,213
X255248,170.0,63,270
X1147152,170.2336956521739,82,271
X1702170,171.66304347826087,84,266
X1398,172.72826086956522,90,271
X1168034,172.90217391304347,90,271
X137591,173.05434782608697,69,270
X29343,173.16304347826087,96,271
X1147153,174.67391304347825,83,192
X1562970,175.9945652173913,91,271
X1302,176.2663043478261,90,267
X299767,177.3641304347826,71,257
X1492,179.82065217391303,65,270
X1884263,180.54891304347825,92,231
X1524881,181.71195652173913,85,270
X1596,182.125,90,269
X1852374,183.27173913043478,87,270
X47715,183.7608695652174,93,260
X1589,184.09782608695653,79,267
X1870984,184.28804347826087,90,269
X712633,186.2391304347826,88,272
X1649240,188.19565217391303,75,201
X824,188.7445652173913,87,269
X1311,189.0108695652174,89,272
X417368,190.22826086956522,79,263
X853,190.44021739130434,98,271
X1090133,190.57065217391303,86,227
X1944646,190.95652173913044,79,268
X2173,191.67934782608697,98,257
X413503,191.85326086956522,90,205
X195,191.91847826086956,110,269
X1354,192.85326086956522,72,268
X1211417,193.02717391304347,96,271
X316,193.93478260869566,90,210
X1661,194.625,90,268
X35703,195.7554347826087,90,264
X1255,196.16847826086956,77,270
X1351,199.9891304347826,91,272
X550,201.3641304347826,86,259
X1642646,202.65217391304347,85,268
X573,204.5163043478261,90,268
X1868135,205.8586956521739,86,270
X1561,206.89673913043478,92,266
X901,207.41847826086956,91,270
X28038,208.0108695652174,79,266
X155148,208.19021739130434,88,268
X1147151,208.34782608695653,94,267
X470,211.375,93,266
X103216,212.10326086956522,87,222
X76123,214.31521739130434,97,270
X727,214.4076086956522,105,271
X1147147,215.08695652173913,96,227
X28025,215.40217391304347,95,270
X105219,215.69565217391303,96,229
X1902136,217.97282608695653,96,271
X227940,219.54891304347825,85,228
X57706,219.8695652173913,83,270
X1324352,220.1413043478261,92,271
X66284,221.0,94,269
X1905288,223.1304347826087,93,268
X37554,223.65217391304347,101,234
X1147157,223.8858695652174,94,233
X1560339,228.7391304347826,96,269
X1496,229.1195652173913,99,271
X1296536,229.67934782608697,94,264
X1759399,230.52717391304347,114,272
X10679,231.53804347826087,95,242
X1934254,232.70108695652175,94,271
X1147144,232.7391304347826,99,268
X1357825,234.3641304347826,103,271
X69328,234.93478260869566,108,246
X283734,236.1195652173913,118,271
X712122,236.46195652173913,147,271
X1502,236.7663043478261,106,272
X1314,238.2608695652174,126,272
X1580,239.2336956521739,98,271
X1249,239.4945652173913,100,271
X1587,239.91304347826087,94,270
X1363,241.97282608695653,96,271
X1744,244.6576086956522,113,271
X1590,244.89673913043478,103,271
X545,245.2336956521739,97,270
X1815968,245.32608695652175,112,271
X584,246.10326086956522,98,271
X1338,247.42391304347825,103,271
X33033,248.27717391304347,105,272
X10710,248.9891304347826,96,257
X1648,249.69565217391303,97,272
X10742,249.71195652173913,99,258
X1834207,249.79347826086956,122,272
X61648,250.95108695652175,123,270
X1280,252.0108695652174,110,271
X1598,255.32608695652175,97,268
X315405,255.5326086956522,111,271
X1147146,256.1576086956522,108,263
X712538,256.3804347826087,124,271
X856,258.25,99,271
X248315,258.98369565217394,153,272
X571,261.2826086956522,118,270
X1796616,262.2771739130435,142,272
X33959,263.89130434782606,100,271
X10680,265.57608695652175,134,271
X1679721,266.9076086956522,191,272
X1197717,268.5054347826087,188,272
