feature,avg_rank,h_rank,l_rank
X1476577,70.94565217391305,3,208
X249188,71.0327868852459,5,107
X502558,71.94565217391305,26,228
X1834196,72.77173913043478,4,263
X582,72.91758241758242,23,93
X730,76.23497267759562,23,187
X1423,76.43715846994536,39,105
X1624,78.17032967032966,48,117
X1579,78.23497267759562,36,109
X1834205,79.6195652173913,7,106
X43675,79.83152173913044,12,151
X1871034,79.8586956521739,39,156
X208479,80.39673913043478,20,225
X2026240,83.95108695652173,4,210
X1283,84.11413043478261,9,137
X1313,85.69565217391305,3,268
X1805478,86.44021739130434,5,136
X246787,89.39673913043478,39,184
X1407493,90.20652173913044,32,138
X28141,92.57608695652173,39,148
X1326,94.20652173913044,38,267
X712411,95.43478260869566,55,246
X399726,97.91847826086956,17,171
X35760,98.84239130434783,41,152
X1812934,99.73913043478261,53,264
X185008,101.28804347826087,61,132
X1681,102.82608695652173,61,258
X39488,102.8804347826087,66,266
X208224,104.21739130434783,40,226
X197,106.66304347826087,58,267
X38289,106.78804347826087,64,224
X67824,106.8804347826087,55,164
X47678,108.2663043478261,77,270
X54291,109.25,42,199
X548,110.02717391304348,45,166
X712357,111.29347826086956,55,244
X546,113.83152173913044,54,225
X1295,114.09782608695652,57,152
X74426,114.66304347826087,51,255
X562,115.69021739130434,74,268
X29385,117.25,61,260
X1692238,117.28804347826087,57,200
X713030,119.1086956521739,65,264
X1147149,119.23913043478261,52,237
X569,119.92391304347827,58,266
X1805714,120.0054347826087,83,269
X1680,121.30434782608695,84,262
X1147148,123.1086956521739,58,142
X1827481,123.79347826086956,64,225
X1349,124.6086956521739,72,224
X55884,124.90217391304348,62,196
X1655645,127.9836956521739,75,211
X1358,128.28804347826087,75,268
X1281,128.4891304347826,79,185
X28131,128.59782608695653,73,253
X1471761,133.4836956521739,85,263
X1649239,133.6358695652174,64,153
X1042156,134.0326086956522,84,265
X1019,136.20108695652175,82,230
X1852373,136.72826086956522,79,263
X1613,137.04347826086956,67,222
X1812935,137.58152173913044,64,269
X1841863,138.3804347826087,83,268
X79604,138.9836956521739,68,255
X1366,139.4673913043478,79,255
X2051905,139.8858695652174,62,233
X1839799,141.1413043478261,78,256
X615,142.27173913043478,73,240
X28116,142.59782608695653,85,269
X1156431,142.60326086956522,86,264
X1147145,142.97282608695653,68,190
X10678,143.04891304347825,59,248
X837,143.66304347826087,87,266
X1335613,144.08152173913044,83,264
X208962,145.53804347826087,88,259
X1852377,146.32608695652175,86,269
X1725232,148.2173913043478,88,267
X1834198,148.2663043478261,70,268
X199,149.28804347826087,64,240
X82983,150.08152173913044,77,260
X847,150.5326086956522,56,207
X414970,150.54891304347825,66,171
X536441,150.79891304347825,90,224
X1907578,155.27717391304347,86,171
X1915310,158.46195652173913,72,241
X51669,158.6413043478261,78,264
X432198,159.32065217391303,83,175
X1785995,160.72826086956522,83,260
X1531429,161.3586956521739,72,268
X1303,161.375,84,270
X1352,161.4945652173913,71,270
X158847,161.9891304347826,72,263
X28901,162.1413043478261,84,243
X1597,166.77173913043478,86,265
X573062,167.08152173913044,84,257
X1796613,167.68478260869566,92,269
X671223,168.27173913043478,81,211
X255248,168.3804347826087,61,269
X1147152,168.6141304347826,80,270
X1702170,170.04347826086956,82,264
X1398,171.1086956521739,89,269
X1168034,171.2826086956522,88,270
X137591,171.43478260869566,67,268
X29343,171.54347826086956,94,269
X1147153,173.05434782608697,81,190
X1562970,174.375,89,270
X1302,174.64673913043478,89,265
X299767,175.7445652173913,69,255
X1492,178.20108695652175,63,268
X1884263,178.92934782608697,90,229
X1524881,180.0923913043478,83,268
X1596,180.5054347826087,90,268
X1852374,181.65217391304347,86,268
X47715,182.1413043478261,91,259
X1589,182.47826086956522,77,265
X1870984,182.66847826086956,88,267
X712633,184.6195652173913,86,270
X1649240,186.57608695652175,73,199
X824,187.125,85,267
X1311,187.3913043478261,87,270
X417368,188.6086956521739,77,261
X853,188.82065217391303,96,269
X1090133,188.95108695652175,84,225
X1944646,189.33695652173913,77,266
X2173,190.05978260869566,96,255
X413503,190.2336956521739,89,204
X195,190.29891304347825,108,268
X1354,191.2336956521739,70,266
X1211417,191.4076086956522,94,269
X316,192.31521739130434,88,208
X1661,193.0054347826087,88,266
X35703,194.1358695652174,88,262
X1255,194.54891304347825,75,268
X1351,198.3695652173913,90,271
X550,199.7445652173913,84,258
X1642646,201.0326086956522,85,266
X573,202.89673913043478,88,267
X1868135,204.2391304347826,85,269
X1561,205.27717391304347,90,264
X901,205.79891304347825,89,268
X28038,206.3913043478261,77,264
X155148,206.57065217391303,86,266
X1147151,206.72826086956522,92,266
X470,209.7554347826087,91,264
X103216,210.4836956521739,85,220
X76123,212.69565217391303,95,269
X727,212.78804347826087,103,269
X1147147,213.4673913043478,94,225
X28025,213.7826086956522,93,269
X105219,214.07608695652175,94,227
X1902136,216.35326086956522,96,270
X227940,217.92934782608697,83,226
X57706,218.25,81,269
X1324352,218.52173913043478,92,269
X66284,219.3804347826087,92,268
X1905288,221.5108695652174,91,266
X37554,222.0326086956522,99,232
X1147157,222.2663043478261,94,231
X1560339,227.1195652173913,95,267
X1496,227.5,97,270
X1296536,228.05978260869566,92,262
X1759399,228.9076086956522,112,271
X10679,229.91847826086956,93,241
X1934254,231.08152173913044,92,269
X1147144,231.1195652173913,97,267
X1357825,232.7445652173913,101,269
X69328,233.31521739130434,106,244
X283734,234.5,116,270
X712122,234.8423913043478,145,271
X1502,235.14673913043478,104,270
X1314,236.6413043478261,124,271
X1580,237.6141304347826,97,270
X1249,237.875,98,270
X1587,238.29347826086956,93,268
X1363,240.35326086956522,95,269
X1744,243.03804347826087,112,269
X1590,243.27717391304347,102,269
X545,243.6141304347826,96,269
X1815968,243.70652173913044,110,270
X584,244.4836956521739,98,270
X1338,245.80434782608697,101,270
X33033,246.6576086956522,103,270
X10710,247.3695652173913,94,255
X1648,248.07608695652175,96,270
X10742,248.0923913043478,97,257
X1834207,248.17391304347825,120,271
X61648,249.33152173913044,121,268
X1280,250.3913043478261,108,269
X1598,253.70652173913044,96,266
X315405,253.91304347826087,110,269
X1147146,254.53804347826087,106,261
X712538,254.7608695652174,122,269
X856,256.6304347826087,97,269
X248315,257.3641304347826,151,271
X571,259.6630434782609,116,269
X1796616,260.6576086956522,140,271
X33959,262.2717391304348,99,269
X10680,263.95652173913044,132,270
X1679721,265.2880434782609,189,271
X1197717,266.8858695652174,186,271
