feature,avg_rank,h_rank,l_rank
X39950,6.102564102564102,1,62
X817,7.621212121212121,1,53
X539,9.550295857988166,2,85
X1297617,10.133333333333333,1,55
X84112,11.783783783783784,2,64
X34085,12.277777777777779,2,78
X1528099,12.790960451977401,2,55
X1601,12.8989898989899,1,70
X649756,13.1,2,92
X216816,14.165413533834586,2,85
X1246,14.83815028901734,2,60
X1245,15.53448275862069,2,88
X239935,15.678571428571429,1,94
X28037,16.187878787878788,2,90
X702967,16.211764705882352,7,24
X28118,16.486486486486488,2,114
X1871021,16.544871794871796,2,126
X28132,17.166666666666668,1,131
X29466,17.96067415730337,4,57
X818,18.15568862275449,2,85
X1683,20.084745762711865,2,55
X1328,20.649122807017545,3,96
X52773,22.236842105263158,2,84
X1308,22.725714285714286,2,78
X1912856,24.011494252873565,1,91
X1494,24.930635838150287,2,83
X1747,26.48603351955307,5,111
X1736,26.519774011299436,3,87
X1309,27.685393258426966,2,87
X1225789,27.876404494382022,1,99
X1282,28.463687150837988,2,94
X69966,28.73076923076923,2,40
X860,29.463276836158194,3,80
X1160721,29.96590909090909,2,87
X1572656,30.786516853932586,4,122
X1307,31.99441340782123,2,102
X1346,32.78888888888889,2,98
X53345,33.272222222222226,3,63
X1599,33.41988950276243,3,80
X1147150,34.101694915254235,9,41
X544580,34.142857142857146,2,164
X46867,36.68681318681319,2,82
X1156433,37.68131868131868,2,159
X287,38.44444444444444,8,81
X51663,39.96153846153846,3,90
X1712675,40.19125683060109,2,100
X102684,41.9171270718232,11,92
X1147143,41.98314606741573,10,64
X1539298,42.21111111111111,3,106
X294,44.02732240437158,8,91
X61645,45.26229508196721,2,95
X2756,48.60655737704918,2,219
X76832,49.016304347826086,2,154
X1685,49.31693989071038,2,91
X1463165,49.431693989071036,42,58
X630,49.794444444444444,2,97
X1604,50.67777777777778,11,211
X1871025,53.0989010989011,6,96
X1813821,53.612021857923494,4,61
X1304,54.619565217391305,3,118
X292800,56.09836065573771,2,129
X2025876,56.70718232044199,3,149
X244366,57.18131868131868,49,90
X1889813,57.889502762430936,16,205
X1216932,59.81967213114754,3,138
X10761,60.50273224043716,4,70
X44742,60.677595628415304,15,86
X1702221,60.72826086956522,14,113
X732,62.10382513661202,25,95
X67827,66.03260869565217,2,138
X1254,67.80978260869566,2,104
X190721,68.30978260869566,6,95
X1134687,68.5,33,131
X631220,69.6120218579235,60,84
