feature,avg_rank,count,h_rank,l_rank
X818 - X84112,1.0,3,1,1
X1308 - X28037,1.0,3,1,1
X1494 - X84112,1.0,3,1,1
X1494 - X216816,1.0,3,1,1
X1246 - X84112,1.0,3,1,1
X39950 - X1147150,1.0,3,1,1
X539 - X28118,1.0,3,1,1
X818 - X28118,1.0,3,1,1
X84112 - X1147143,1.0,3,1,1
X1147143 - X1297617,1.0,3,1,1
X84112 - X239935,1.0,3,1,1
X1494 - X28118,1.0,3,1,1
X34085 - X216816,1.0,3,1,1
X34085 - X1160721,1.0,3,1,1
X216816 - X1160721,1.0,3,1,1
X84112 - X1539298,1.3333333333333333,3,1,2
X216816 - X1539298,1.3333333333333333,3,1,2
X239935 - X1871021,1.3333333333333333,3,1,2
X1308 - X84112,1.6666666666666667,3,1,3
X1736 - X84112,1.6666666666666667,3,1,3
X84112 - X1871021,1.6666666666666667,3,1,3
X28037 - X649756,2.0,3,1,4
X1245 - X1871021,3.3333333333333335,3,1,8
X39950 - X1160721,5.666666666666667,3,1,15
X1160721 - X1297617,5.666666666666667,3,1,15
X52773 - X1160721,5.666666666666667,3,1,15
X287 - X1297617,13.0,3,1,37
X1245 - X1246,1.0,2,1,1
X1309 - X39950,1.0,2,1,1
X1309 - X1871021,1.0,2,1,1
X39950 - X102684,1.0,2,1,1
X817 - X1346,1.0,2,1,1
X1346 - X39950,1.0,2,1,1
X630 - X1601,1.0,2,1,1
X630 - X39950,1.0,2,1,1
X539 - X649756,1.0,2,1,1
X817 - X1599,1.0,2,1,1
X817 - X1147143,1.0,2,1,1
X817 - X1147150,1.0,2,1,1
X1147143 - X1147150,1.0,2,1,1
X52773 - X1528099,1.0,2,1,1
X1246 - X1747,1.0,2,1,1
X1246 - X28037,1.0,2,1,1
X1282 - X1747,1.0,2,1,1
X1282 - X1297617,1.0,2,1,1
X28037 - X702967,1.0,2,1,1
X28118 - X702967,1.0,2,1,1
X1328 - X649756,1.0,2,1,1
X1245 - X216816,1.0,2,1,1
X702967 - X1160721,1.0,2,1,1
X39950 - X1225789,1.0,2,1,1
X1601 - X1225789,1.0,2,1,1
X216816 - X1225789,1.0,2,1,1
X818 - X29466,1.0,2,1,1
X29466 - X216816,1.0,2,1,1
X1282 - X1601,1.0,2,1,1
X1601 - X1747,1.0,2,1,1
X1599 - X39950,1.0,2,1,1
X1599 - X1297617,1.0,2,1,1
X39950 - X53345,1.0,2,1,1
X817 - X1572656,1.0,2,1,1
X1736 - X216816,1.0,2,1,1
X52773 - X1912856,1.0,2,1,1
X1494 - X1912856,1.0,2,1,1
X84112 - X1912856,1.0,2,1,1
X539 - X84112,1.0,2,1,1
X1246 - X34085,1.0,2,1,1
X28037 - X28132,1.0,2,1,1
X29466 - X39950,1.0,2,1,1
X1346 - X1147150,1.0,2,1,1
X52773 - X1147150,1.0,2,1,1
X53345 - X1297617,1.0,2,1,1
X582 - X1297617,1.0,2,1,1
X34085 - X1147143,1.0,2,1,1
X39950 - X1147143,1.0,2,1,1
X52773 - X1147143,1.0,2,1,1
X216816 - X1147143,1.0,2,1,1
X1147150 - X1225789,1.0,2,1,1
X1328 - X34085,1.0,2,1,1
X1328 - X84112,1.0,2,1,1
X239935 - X649756,1.0,2,1,1
X102684 - X1297617,1.0,2,1,1
X544580 - X1297617,1.0,2,1,1
X860 - X52773,1.0,2,1,1
X1736 - X239935,1.0,2,1,1
X1297617 - X1871025,1.0,2,1,1
X1245 - X1601,1.0,2,1,1
X1246 - X1871021,1.0,2,1,1
X1328 - X28037,1.0,2,1,1
X1307 - X1601,1.0,2,1,1
X1307 - X34085,1.0,2,1,1
X46867 - X1297617,1.0,2,1,1
X1328 - X1871021,1.0,2,1,1
X539 - X1494,1.0,2,1,1
X244366 - X1297617,1.0,2,1,1
X1328 - X216816,1.0,2,1,1
X1601 - X1539298,1.5,2,1,2
X84112 - X1572656,1.5,2,1,2
X216816 - X1572656,1.5,2,1,2
X287 - X817,1.5,2,1,2
X287 - X1871021,1.5,2,1,2
X287 - X239935,1.5,2,1,2
X817 - X1736,2.0,2,1,3
X51663 - X1297617,2.0,2,1,3
X216816 - X1528099,2.0,2,1,3
X1528099 - X1871021,2.0,2,1,3
X817 - X1282,2.5,2,1,4
X1282 - X216816,2.5,2,1,4
X1328 - X1912856,3.0,2,1,5
X1604 - X216816,3.0,2,3,3
X1245 - X28132,4.5,2,1,8
X1494 - X1871021,4.5,2,1,8
X817 - X1889813,13.0,2,1,25
X39950 - X1134687,13.0,2,1,25
X1328 - X702967,19.0,2,1,37
X1604 - X702967,19.0,2,1,37
X818 - X1683,1.0,1,1,1
X102684 - X1871021,1.0,1,1,1
X102684 - X2025876,1.0,1,1,1
X649756 - X2025876,1.0,1,1,1
X1871021 - X2025876,1.0,1,1,1
X28037 - X28118,1.0,1,1,1
X1346 - X1601,1.0,1,1,1
X1346 - X28132,1.0,1,1,1
X630 - X860,1.0,1,1,1
X630 - X84112,1.0,1,1,1
X860 - X84112,1.0,1,1,1
X630 - X239935,1.0,1,1,1
X630 - X702967,1.0,1,1,1
X817 - X1813821,1.0,1,1,1
X28037 - X1813821,1.0,1,1,1
X28037 - X2025876,1.0,1,1,1
X39950 - X1813821,1.0,1,1,1
X1813821 - X2025876,1.0,1,1,1
X1245 - X1346,1.0,1,1,1
X1346 - X1599,1.0,1,1,1
X1346 - X649756,1.0,1,1,1
X1599 - X649756,1.0,1,1,1
X1309 - X1736,1.0,1,1,1
X1309 - X1160721,1.0,1,1,1
X1736 - X1160721,1.0,1,1,1
X1160721 - X1871021,1.0,1,1,1
X817 - X1685,1.0,1,1,1
X817 - X69966,1.0,1,1,1
X1601 - X1685,1.0,1,1,1
X1601 - X69966,1.0,1,1,1
X1685 - X69966,1.0,1,1,1
X1685 - X1147143,1.0,1,1,1
X1685 - X1147150,1.0,1,1,1
X69966 - X1147143,1.0,1,1,1
X69966 - X1147150,1.0,1,1,1
X1309 - X702967,1.0,1,1,1
X1309 - X1225789,1.0,1,1,1
X702967 - X1225789,1.0,1,1,1
X702967 - X1528099,1.0,1,1,1
X1246 - X1282,1.0,1,1,1
X1246 - X702967,1.0,1,1,1
X1282 - X28037,1.0,1,1,1
X1282 - X702967,1.0,1,1,1
X1747 - X28037,1.0,1,1,1
X1747 - X702967,1.0,1,1,1
X649756 - X702967,1.0,1,1,1
X1494 - X702967,1.0,1,1,1
X1494 - X1160721,1.0,1,1,1
X28037 - X1225789,1.0,1,1,1
X817 - X1156433,1.0,1,1,1
X1282 - X28132,1.0,1,1,1
X1282 - X53345,1.0,1,1,1
X1282 - X1156433,1.0,1,1,1
X28132 - X53345,1.0,1,1,1
X28132 - X216816,1.0,1,1,1
X28132 - X1156433,1.0,1,1,1
X53345 - X216816,1.0,1,1,1
X53345 - X1156433,1.0,1,1,1
X216816 - X1156433,1.0,1,1,1
X817 - X1423,1.0,1,1,1
X1423 - X39950,1.0,1,1,1
X1423 - X239935,1.0,1,1,1
X1423 - X1297617,1.0,1,1,1
X1423 - X2025876,1.0,1,1,1
X239935 - X2025876,1.0,1,1,1
X1297617 - X2025876,1.0,1,1,1
X539 - X1225789,1.0,1,1,1
X1225789 - X1871021,1.0,1,1,1
X1282 - X34085,1.0,1,1,1
X1282 - X1871021,1.0,1,1,1
X1747 - X34085,1.0,1,1,1
X1747 - X1871021,1.0,1,1,1
X34085 - X1871021,1.0,1,1,1
X1599 - X216816,1.0,1,1,1
X1599 - X1871021,1.0,1,1,1
X1683 - X216816,1.0,1,1,1
X1683 - X1871021,1.0,1,1,1
X860 - X1528099,1.0,1,1,1
X28118 - X1539298,1.0,1,1,1
X630 - X216816,1.0,1,1,1
X1601 - X292800,1.0,1,1,1
X1747 - X84112,1.0,1,1,1
X1747 - X292800,1.0,1,1,1
X84112 - X292800,1.0,1,1,1
X292800 - X1297617,1.0,1,1,1
X649756 - X1912856,1.0,1,1,1
X1601 - X53345,1.0,1,1,1
X34085 - X53345,1.0,1,1,1
X28037 - X84112,1.0,1,1,1
X860 - X1245,1.0,1,1,1
X860 - X1309,1.0,1,1,1
X860 - X1572656,1.0,1,1,1
X1245 - X1309,1.0,1,1,1
X1245 - X1572656,1.0,1,1,1
X1309 - X1572656,1.0,1,1,1
X1736 - X52773,1.0,1,1,1
X1736 - X1912856,1.0,1,1,1
X1494 - X1572656,1.0,1,1,1
X39950 - X1572656,1.0,1,1,1
X1572656 - X1912856,1.0,1,1,1
X1683 - X28132,1.0,1,1,1
X817 - X10761,1.0,1,1,1
X1309 - X10761,1.0,1,1,1
X10761 - X39950,1.0,1,1,1
X10761 - X1297617,1.0,1,1,1
X287 - X1601,1.0,1,1,1
X287 - X39950,1.0,1,1,1
X539 - X28037,1.0,1,1,1
X539 - X28132,1.0,1,1,1
X539 - X29466,1.0,1,1,1
X28037 - X29466,1.0,1,1,1
X28132 - X29466,1.0,1,1,1
X1346 - X52773,1.0,1,1,1
X1346 - X53345,1.0,1,1,1
X52773 - X53345,1.0,1,1,1
X53345 - X1147150,1.0,1,1,1
X287 - X294,1.0,1,1,1
X294 - X239935,1.0,1,1,1
X294 - X1297617,1.0,1,1,1
X1601 - X61645,1.0,1,1,1
X539 - X582,1.0,1,1,1
X539 - X1307,1.0,1,1,1
X582 - X818,1.0,1,1,1
X582 - X1307,1.0,1,1,1
X582 - X216816,1.0,1,1,1
X818 - X1307,1.0,1,1,1
X1307 - X216816,1.0,1,1,1
X630 - X1683,1.0,1,1,1
X630 - X28037,1.0,1,1,1
X630 - X1572656,1.0,1,1,1
X1683 - X28037,1.0,1,1,1
X1683 - X1572656,1.0,1,1,1
X28037 - X1572656,1.0,1,1,1
X29466 - X84112,1.0,1,1,1
X1147143 - X1539298,1.0,1,1,1
X818 - X1528099,1.0,1,1,1
X818 - X1572656,1.0,1,1,1
X28118 - X1528099,1.0,1,1,1
X28118 - X1572656,1.0,1,1,1
X1528099 - X1572656,1.0,1,1,1
X28118 - X1147150,1.0,1,1,1
X28118 - X1225789,1.0,1,1,1
X216816 - X1147150,1.0,1,1,1
X1328 - X1134687,1.0,1,1,1
X1601 - X1134687,1.0,1,1,1
X34085 - X1134687,1.0,1,1,1
X649756 - X1134687,1.0,1,1,1
X28132 - X51663,1.0,1,1,1
X28132 - X1572656,1.0,1,1,1
X51663 - X1572656,1.0,1,1,1
X1328 - X1683,1.0,1,1,1
X1328 - X1528099,1.0,1,1,1
X1683 - X84112,1.0,1,1,1
X1683 - X1528099,1.0,1,1,1
X84112 - X1528099,1.0,1,1,1
X539 - X1712675,1.0,1,1,1
X28118 - X1712675,1.0,1,1,1
X1297617 - X1712675,1.0,1,1,1
X84112 - X102684,1.0,1,1,1
X102684 - X216816,1.0,1,1,1
X1246 - X1683,1.0,1,1,1
X1246 - X52773,1.0,1,1,1
X1683 - X1747,1.0,1,1,1
X1683 - X52773,1.0,1,1,1
X1747 - X39950,1.0,1,1,1
X1747 - X52773,1.0,1,1,1
X1601 - X102684,1.0,1,1,1
X1601 - X544580,1.0,1,1,1
X28037 - X544580,1.0,1,1,1
X39950 - X544580,1.0,1,1,1
X649756 - X1528099,1.0,1,1,1
X1683 - X649756,1.0,1,1,1
X860 - X1601,1.0,1,1,1
X1309 - X52773,1.0,1,1,1
X1309 - X216816,1.0,1,1,1
X1309 - X649756,1.0,1,1,1
X818 - X1308,1.0,1,1,1
X1246 - X1160721,1.0,1,1,1
X28037 - X1160721,1.0,1,1,1
X818 - X649756,1.0,1,1,1
X28118 - X28132,1.0,1,1,1
X1494 - X544580,1.0,1,1,1
X1494 - X1871025,1.0,1,1,1
X28118 - X544580,1.0,1,1,1
X28118 - X1871025,1.0,1,1,1
X544580 - X1871021,1.0,1,1,1
X544580 - X1871025,1.0,1,1,1
X1871021 - X1871025,1.0,1,1,1
X817 - X2756,1.0,1,1,1
X1328 - X2756,1.0,1,1,1
X1328 - X53345,1.0,1,1,1
X2756 - X28037,1.0,1,1,1
X2756 - X53345,1.0,1,1,1
X2756 - X1297617,1.0,1,1,1
X28037 - X53345,1.0,1,1,1
X1246 - X1736,1.0,1,1,1
X1246 - X239935,1.0,1,1,1
X1328 - X1346,1.0,1,1,1
X1328 - X1747,1.0,1,1,1
X1328 - X1147150,1.0,1,1,1
X1328 - X1225789,1.0,1,1,1
X1346 - X1747,1.0,1,1,1
X1346 - X1225789,1.0,1,1,1
X1747 - X1147150,1.0,1,1,1
X1747 - X1225789,1.0,1,1,1
X817 - X1539298,1.0,1,1,1
X1147150 - X1539298,1.0,1,1,1
X818 - X1736,1.0,1,1,1
X818 - X1871021,1.0,1,1,1
X39950 - X44742,1.0,1,1,1
X44742 - X216816,1.0,1,1,1
X44742 - X1297617,1.0,1,1,1
X1599 - X1601,1.0,1,1,1
X860 - X28118,1.0,1,1,1
X860 - X1912856,1.0,1,1,1
X1307 - X52773,1.0,1,1,1
X1307 - X649756,1.0,1,1,1
X817 - X1579,1.0,1,1,1
X1579 - X216816,1.0,1,1,1
X1579 - X1297617,1.0,1,1,1
X1579 - X1871021,1.0,1,1,1
X1579 - X1889813,1.0,1,1,1
X216816 - X1889813,1.0,1,1,1
X1297617 - X1889813,1.0,1,1,1
X1871021 - X1889813,1.0,1,1,1
X1601 - X46867,1.0,1,1,1
X1601 - X1156433,1.0,1,1,1
X39950 - X46867,1.0,1,1,1
X39950 - X1156433,1.0,1,1,1
X46867 - X1147150,1.0,1,1,1
X46867 - X1156433,1.0,1,1,1
X1147150 - X1156433,1.0,1,1,1
X1156433 - X1297617,1.0,1,1,1
X1494 - X52773,1.0,1,1,1
X582 - X1736,1.0,1,1,1
X582 - X29466,1.0,1,1,1
X582 - X1871021,1.0,1,1,1
X1736 - X29466,1.0,1,1,1
X29466 - X1871021,1.0,1,1,1
X1246 - X1328,1.0,1,1,1
X1246 - X28118,1.0,1,1,1
X539 - X1246,1.0,1,1,1
X539 - X1282,1.0,1,1,1
X1282 - X1494,1.0,1,1,1
X1282 - X39950,1.0,1,1,1
X1245 - X28037,1.0,1,1,1
X28037 - X34085,1.0,1,1,1
X1601 - X1216932,1.0,1,1,1
X29466 - X1147143,1.0,1,1,1
X29466 - X1147150,1.0,1,1,1
X29466 - X1216932,1.0,1,1,1
X1147143 - X1216932,1.0,1,1,1
X1147150 - X1216932,1.0,1,1,1
X1216932 - X1297617,1.0,1,1,1
X539 - X34085,1.0,1,1,1
X539 - X1147143,1.0,1,1,1
X818 - X1147143,1.0,1,1,1
X817 - X46867,1.0,1,1,1
X1308 - X28118,1.0,1,1,1
X1308 - X46867,1.0,1,1,1
X28118 - X46867,1.0,1,1,1
X46867 - X649756,1.0,1,1,1
X1494 - X69966,1.0,1,1,1
X1494 - X244366,1.0,1,1,1
X1494 - X1463165,1.0,1,1,1
X69966 - X244366,1.0,1,1,1
X69966 - X1297617,1.0,1,1,1
X69966 - X1463165,1.0,1,1,1
X244366 - X1463165,1.0,1,1,1
X1297617 - X1463165,1.0,1,1,1
X860 - X34085,1.0,1,1,1
X860 - X239935,1.0,1,1,1
X34085 - X239935,1.0,1,1,1
X1601 - X1528099,1.0,1,1,1
X28037 - X52773,1.0,1,1,1
X28037 - X1528099,1.0,1,1,1
X1328 - X52773,1.0,1,1,1
X1328 - X239935,1.0,1,1,1
X239935 - X1912856,1.0,1,1,1
X817 - X1871025,1.0,1,1,1
X818 - X1871025,1.0,1,1,1
X34085 - X1871025,1.0,1,1,1
X28118 - X1160721,1.0,1,1,1
X732 - X817,1.0,1,1,1
X732 - X1601,1.0,1,1,1
X732 - X52773,1.0,1,1,1
X732 - X84112,1.0,1,1,1
X732 - X1297617,1.0,1,1,1
X818 - X1160721,1.0,1,1,1
X1601 - X631220,1.0,1,1,1
X216816 - X631220,1.0,1,1,1
X631220 - X1160721,1.0,1,1,1
X631220 - X1912856,1.0,1,1,1
X1160721 - X1912856,1.0,1,1,1
X1307 - X1912856,1.0,1,1,1
X34085 - X1912856,1.0,1,1,1
X539 - X1328,1.0,1,1,1
X1604 - X52773,1.0,1,1,1
X1604 - X239935,1.0,1,1,1
X539 - X860,1.0,1,1,1
X818 - X860,1.0,1,1,1
X818 - X1494,1.0,1,1,1
X860 - X1494,1.0,1,1,1
X817 - X244366,1.0,1,1,1
