feature,avg_rank,count,h_rank,l_rank
X817 - X1297617,1.1397058823529411,136,1,17
X39950 - X1297617,1.1472868217054264,129,1,20
X817 - X39950,1.178294573643411,129,1,12
X1601 - X1297617,1.349056603773585,106,1,20
X817 - X1601,1.183673469387755,98,1,17
X1601 - X39950,1.5510204081632653,98,1,36
X28118 - X1297617,1.2537313432835822,67,1,17
X216816 - X1297617,1.0307692307692307,65,1,3
X28118 - X39950,1.0625,64,1,4
X817 - X649756,1.0158730158730158,63,1,2
X817 - X216816,1.3492063492063493,63,1,12
X39950 - X649756,1.3064516129032258,62,1,20
X649756 - X1297617,1.3225806451612903,62,1,20
X817 - X28118,1.3278688524590163,61,1,17
X39950 - X216816,1.9821428571428572,56,1,36
X817 - X84112,1.290909090909091,55,1,17
X84112 - X1297617,1.6363636363636365,55,1,20
X1297617 - X1871021,1.0377358490566038,53,1,3
X1601 - X649756,1.3584905660377358,53,1,20
X39950 - X84112,2.0384615384615383,52,1,36
X52773 - X1297617,1.76,50,1,20
X817 - X34085,1.0,49,1,1
X1601 - X28118,1.3265306122448979,49,1,17
X1601 - X216816,1.7551020408163265,49,1,36
X34085 - X39950,1.0,48,1,1
X39950 - X1871021,1.1875,48,1,10
X817 - X52773,1.875,48,1,17
X539 - X39950,1.0,46,1,1
X817 - X1871021,1.2391304347826086,46,1,10
X1601 - X1871021,1.0444444444444445,45,1,3
X34085 - X1297617,1.0,43,1,1
X539 - X1297617,1.0,43,1,1
X539 - X817,1.0,43,1,1
X1601 - X84112,2.6666666666666665,42,1,36
X39950 - X52773,2.8333333333333335,42,1,36
X539 - X1601,1.0,37,1,1
X52773 - X216816,2.5675675675675675,37,1,36
X39950 - X239935,1.5714285714285714,35,1,12
X1601 - X52773,3.1176470588235294,34,1,36
X1601 - X34085,1.0,32,1,1
X1328 - X1297617,1.5161290322580645,31,1,17
X817 - X1328,1.6129032258064515,31,1,17
X239935 - X1297617,1.0,30,1,1
X817 - X239935,1.6666666666666667,30,1,12
X84112 - X216816,2.1666666666666665,30,1,36
X52773 - X84112,3.3333333333333335,30,1,36
X216816 - X1871021,1.3793103448275863,29,1,10
X34085 - X649756,1.0,28,1,1
X817 - X1912856,1.5357142857142858,28,1,12
X1494 - X1297617,2.3214285714285716,28,1,20
X39950 - X1528099,1.0,27,1,1
X28118 - X649756,1.037037037037037,27,1,2
X1328 - X39950,1.1111111111111112,27,1,4
X28037 - X39950,1.0,26,1,1
X28118 - X216816,1.0,26,1,1
X1494 - X39950,3.1923076923076925,26,1,36
X817 - X1528099,1.0,25,1,1
X28118 - X1871021,1.0,25,1,1
X28118 - X84112,1.64,25,1,17
X539 - X649756,1.0,24,1,1
X649756 - X1871021,1.0,24,1,1
X817 - X28037,1.0,24,1,1
X539 - X34085,1.0,24,1,1
X817 - X1494,1.875,24,1,17
X1494 - X1601,4.0,24,1,36
X28118 - X34085,1.0,23,1,1
X28037 - X1297617,1.0,23,1,1
X1297617 - X1912856,1.0434782608695652,23,1,2
X817 - X28132,1.4782608695652173,23,1,10
X84112 - X649756,1.826086956521739,23,1,20
X28118 - X52773,1.8695652173913044,23,1,17
X1494 - X216816,2.608695652173913,23,1,36
X1297617 - X1528099,1.0,22,1,1
X817 - X818,1.4090909090909092,22,1,10
X1328 - X1601,1.7272727272727273,22,1,17
X28132 - X1297617,1.9545454545454546,22,1,20
X34085 - X1871021,1.0,21,1,1
X216816 - X1912856,3.1904761904761907,21,1,36
X39950 - X1912856,3.3333333333333335,21,1,36
X818 - X1297617,1.0,20,1,1
X539 - X28118,1.0,20,1,1
X1601 - X239935,1.0,20,1,1
X818 - X216816,1.45,20,1,10
X28132 - X39950,2.4,20,1,20
X52773 - X1912856,3.5,20,1,36
X1601 - X1528099,1.0,19,1,1
X216816 - X649756,1.0,19,1,1
X1601 - X28037,1.0,19,1,1
X1601 - X28132,2.1052631578947367,19,1,20
X1494 - X52773,4.947368421052632,19,1,36
X539 - X239935,1.0,18,1,1
X817 - X1307,1.0,18,1,1
X84112 - X1871021,1.0,18,1,1
X34085 - X84112,1.0,17,1,1
X539 - X1871021,1.0,17,1,1
X52773 - X1871021,1.6470588235294117,17,1,10
X39950 - X702967,3.0588235294117645,17,1,36
X1494 - X84112,5.176470588235294,17,1,36
X817 - X702967,1.0,16,1,1
X1328 - X34085,1.0,16,1,1
X28132 - X216816,1.6875,16,1,10
X1307 - X1297617,2.1875,16,1,20
X1601 - X1912856,3.1875,16,1,36
X818 - X1601,1.0,15,1,1
X539 - X1328,1.0,15,1,1
X28118 - X239935,1.0,15,1,1
X1308 - X1297617,1.0666666666666667,15,1,2
X817 - X1308,1.2666666666666666,15,1,4
X818 - X39950,1.6,15,1,10
X1307 - X39950,2.2666666666666666,15,1,20
X52773 - X649756,2.3333333333333335,15,1,20
X34085 - X239935,1.0,14,1,1
X84112 - X239935,1.0,14,1,1
X702967 - X1297617,1.0,14,1,1
X1328 - X649756,1.0,14,1,1
X1308 - X39950,1.2142857142857142,14,1,4
X28132 - X52773,3.142857142857143,14,1,20
X34085 - X1528099,1.0,13,1,1
X539 - X1528099,1.0,13,1,1
X1528099 - X1871021,1.0,13,1,1
X1328 - X1871021,1.0,13,1,1
X239935 - X649756,1.0,13,1,1
X539 - X216816,1.0,13,1,1
X817 - X1245,1.1538461538461537,13,1,3
X239935 - X1871021,1.6923076923076923,13,1,10
X818 - X52773,1.6923076923076923,13,1,10
X1307 - X1601,2.4615384615384617,13,1,20
X1494 - X28118,2.4615384615384617,13,1,17
X1601 - X702967,3.6923076923076925,13,1,36
X649756 - X1528099,1.0,12,1,1
X1683 - X39950,1.0,12,1,1
X34085 - X216816,1.0,12,1,1
X539 - X84112,1.0,12,1,1
X1245 - X39950,1.0,12,1,1
X1307 - X216816,1.0,12,1,1
X1245 - X1297617,1.1666666666666667,12,1,3
X28118 - X1912856,1.3333333333333333,12,1,4
X1328 - X28118,2.5833333333333335,12,1,17
X1307 - X52773,2.5833333333333335,12,1,20
X216816 - X239935,2.6666666666666665,12,1,12
